Section,Current,Proposed
1. Landing (index.html),GeoParty (tab title),keep
1. Landing (index.html),Jackbox-style geoguessing party game. Guess where in the world you are — phones in… (meta),keep
1. Landing (index.html),GeoParty (og:site_name),keep
1. Landing (index.html),GeoParty — the geoguessing party game (og:title),keep
1. Landing (index.html),"Guess where in the world you are. Phones in, pins down. Free in the browser — no app… (og:desc)",keep
1. Landing (index.html),GeoParty (hero H1),keep
1. Landing (index.html),"Guess where in the world you are. Phones in, pins down. (tagline)",keep
1. Landing (index.html),Start a party (primary CTA),keep
1. Landing (index.html),Have a code? Join (secondary CTA),keep
1. Landing (index.html),Everyone on their own phone (chooser 1),keep
1. Landing (index.html),"Same spot, same clock — rival pins in plain sight. (subline)",keep
1. Landing (index.html),One phone + the TV (chooser 2),keep
1. Landing (index.html),"One phone drives, everyone shouts directions. (subline)",keep
1. Landing (index.html),← Back,keep
1. Landing (index.html),CODE (join placeholder),keep
1. Landing (index.html),Join,keep
1. Landing (index.html),"Daily Challenge — five mystery places, the same for everyone today. No party needed.",keep (title case is correct; daily.html tag fixed below)
1. Landing (index.html),How it works (aria),keep
1. Landing (index.html),One phone starts a party (step 1),keep
1. Landing (index.html),Friends join — QR or link (step 2),keep
1. Landing (index.html),Add a TV. Optional. (step 3),**Add a TV — optional**
1. Landing (index.html),How to play (footer),keep
1. Landing (index.html),Add a TV (footer link),**TV screen**
1. Landing (index.html),Privacy (footer),keep
1. Landing (index.html),GitHub (footer),keep
1. Landing (index.html),© 2026 Eduardo Ariño de la Rubia · A game by Eduardo Ariño de la Rubia,**© 2026 · A game by Eduardo Ariño de la Rubia**
2. Daily Challenge (daily.html + daily-ui.js),GeoParty — Daily Challenge (tab),keep
2. Daily Challenge (daily.html + daily-ui.js),"Five mystery places, the same for everyone today. One run per day… (meta)",keep
2. Daily Challenge (daily.html + daily-ui.js),GeoParty · daily challenge (intro H1 + tag),**GeoParty · Daily Challenge**
2. Daily Challenge (daily.html + daily-ui.js),Today · #— (stat card + placeholder),**Today · #—** (placeholder class; keep)
2. Daily Challenge (daily.html + daily-ui.js),Five mystery places — the same five for everyone today. / One run per day. Closer + faster = more points.,keep
2. Daily Challenge (daily.html + daily-ui.js),"⚡ Hard mode — no moving, 30 seconds / Try hard mode",keep
2. Daily Challenge (daily.html + daily-ui.js),← GeoParty (back link),**← Home**
2. Daily Challenge (daily.html + daily-ui.js),Play today's Daily (intro CTA),keep
2. Daily Challenge (daily.html + daily-ui.js),Round 1/5 · 1:00 (HUD skeleton),keep
2. Daily Challenge (daily.html + daily-ui.js),Make guess (round primary — opens the map),**Guess on the map**
2. Daily Challenge (daily.html + daily-ui.js),Tap the map to drop your pin,keep
2. Daily Challenge (daily.html + daily-ui.js),Back to street,keep
2. Daily Challenge (daily.html + daily-ui.js),Lock it in,keep
2. Daily Challenge (daily.html + daily-ui.js),Round 1 · — · — · Total so far · — (reveal skeletons),keep (placeholder class)
2. Daily Challenge (daily.html + daily-ui.js),Next round,keep
2. Daily Challenge (daily.html + daily-ui.js),Daily done! (done headline skeleton),keep (JS overwrites)
2. Daily Challenge (daily.html + daily-ui.js),Your score · —,keep
2. Daily Challenge (daily.html + daily-ui.js),New personal best! 🏆,keep
2. Daily Challenge (daily.html + daily-ui.js),"Share your result (done share, non-duel default)",keep (model)
2. Daily Challenge (daily.html + daily-ui.js),Your five places (recap title),keep
2. Daily Challenge (daily.html + daily-ui.js),Fresh five tomorrow — or start a party with friends.,keep
2. Daily Challenge (daily.html + daily-ui.js),How to play · © line,**© 2026 · A game by Eduardo Ariño de la Rubia**
2. Daily Challenge (daily.html + daily-ui.js),This challenge was built on an older Daily — playing without the ghost. (boot toast),**This challenge was built on an older Daily — playing today's five solo instead.**
2. Daily Challenge (daily.html + daily-ui.js),Couldn't load today's places — try again.,keep (apostrophe normalized)
2. Daily Challenge (daily.html + daily-ui.js),Round ${n}/5 ⚡ (HUD),keep
2. Daily Challenge (daily.html + daily-ui.js),Lock it in / Lock in (armed-state drift),**Lock it in** (both states) **[test]**
2. Daily Challenge (daily.html + daily-ui.js),Time! Your pin was locked in. / Time! No pin — no points this round.,keep
2. Daily Challenge (daily.html + daily-ui.js),Round ${n} of 5 (reveal heading),keep (spoken form)
2. Daily Challenge (daily.html + daily-ui.js),"You +12,340 · 👻 +11,500 — you take the round / 👻 takes the round / you and the ghost tied",**…the ghost takes the round** (emoji not a subject)
2. Daily Challenge (daily.html + daily-ui.js),See my score / Next round,keep
2. Daily Challenge (daily.html + daily-ui.js),This challenge was built on an older Daily — showing your result.,keep
2. Daily Challenge (daily.html + daily-ui.js),You played Daily #142* ✓ / Daily #142* done!,**Daily #142 — you did it! 🎉** (fresh); gloss the `*` as hard mode
2. Daily Challenge (daily.html + daily-ui.js),Missed a day — your streak survived. 🔥 5 / 🔥 5 — day streak,keep (format normalized)
2. Daily Challenge (daily.html + daily-ui.js),🎯 3rd ace this month,**🎯 3rd ACE this month**
2. Daily Challenge (daily.html + daily-ui.js),**Challenge them back** (duel done primary — the share trigger),**Share your run back**
2. Daily Challenge (daily.html + daily-ui.js),That was another day's five… / One run per day keeps scores honest…,keep
2. Daily Challenge (daily.html + daily-ui.js),You beat the ghost! 🏆 / The ghost got you 👻 / You and the ghost tied.,keep (period normalized)
2. Daily Challenge (daily.html + daily-ui.js),"12,340 apiece / 12,340 to 11,900 — by 440",**…by 440 pts**
2. Daily Challenge (daily.html + daily-ui.js),"This run has no saved pins — sharing a plain card, no ghost challenge.",**This run has no saved pins — sharing your score card without the challenge link.**
2. Daily Challenge (daily.html + daily-ui.js),⚔️ CHALLENGE — Daily #142* ⚡ (intro eyebrow),keep (gloss the `*`)
2. Daily Challenge (daily.html + daily-ui.js),"A friend sent you their run. Their ghost pin appears at every reveal — same five places, same rules.",keep (model string)
2. Daily Challenge (daily.html + daily-ui.js),Take the challenge,keep
2. Daily Challenge (daily.html + daily-ui.js),Play Hard Mode ⚡ / Play Today's Daily,**Play hard mode ⚡** / keep
2. Daily Challenge (daily.html + daily-ui.js),This challenge needs a newer GeoParty… (toast),"**…— reload this page, then open the link again.**"
2. Daily Challenge (daily.html + daily-ui.js),Loading your challenge…,keep
"3. Ghost Duel share (share.js, share-ui.js)",We were 3.2 km from Kyoto… beat us: url (party card),keep
